station,pollutant,model,feature,importance,type
Manchester_Piccadilly,O3,xgboost,day_sin,0.04302487522363663,Random Search
Manchester_Piccadilly,O3,xgboost,day_cos,0.0436139740049839,Random Search
Manchester_Piccadilly,O3,xgboost,unix,0.03082920052111149,Random Search
Manchester_Piccadilly,O3,xgboost,temp,0.05985807627439499,Normet AutoML
Manchester_Piccadilly,O3,xgboost,RH,0.12273544073104858,Normet AutoML
Manchester_Piccadilly,O3,xgboost,sp,0.01196522917598486,Normet AutoML
Manchester_Piccadilly,O3,xgboost,blh_final,0.0795571506023407,Normet AutoML
Manchester_Piccadilly,O3,xgboost,weekday,0.031186332926154137,Normet AutoML
Manchester_Piccadilly,O3,xgboost,month_sin,0.3381963074207306,Normet AutoML
Manchester_Piccadilly,O3,xgboost,month_cos,0.037543244659900665,Normet AutoML
Manchester_Piccadilly,O3,xgboost,wind_u,0.04826906695961952,Normet AutoML
Manchester_Piccadilly,O3,xgboost,wind_v,0.054825134575366974,Normet AutoML
Manchester_Piccadilly,O3,xgboost,hour_sin,0.033313434571027756,Normet AutoML
Manchester_Piccadilly,O3,xgboost,hour_cos,0.05101072043180466,Normet AutoML
Manchester_Piccadilly,O3,xgboost,day_sin,0.04655955359339714,Normet AutoML
Manchester_Piccadilly,O3,xgboost,day_cos,0.0488167405128479,Normet AutoML
Manchester_Piccadilly,O3,xgboost,unix,0.036163579672575,Normet AutoML
Manchester_Sharston,NOx,xgboost,temp,0.11902444064617157,Random Search
Manchester_Sharston,NOx,xgboost,RH,0.016912709921598434,Random Search
Manchester_Sharston,NOx,xgboost,sp,0.026757286861538887,Random Search
Manchester_Sharston,NOx,xgboost,blh_final,0.04784555360674858,Random Search
Manchester_Sharston,NOx,xgboost,weekday,0.06699619442224503,Random Search
Manchester_Sharston,NOx,xgboost,month_sin,0.027828557416796684,Random Search
Manchester_Sharston,NOx,xgboost,month_cos,0.12308251857757568,Random Search
Manchester_Sharston,NOx,xgboost,wind_u,0.07157939672470093,Random Search
Manchester_Sharston,NOx,xgboost,wind_v,0.08534324169158936,Random Search
Manchester_Sharston,NOx,xgboost,hour_sin,0.10063380748033524,Random Search
Manchester_Sharston,NOx,xgboost,hour_cos,0.1153198704123497,Random Search
Manchester_Sharston,NOx,xgboost,day_sin,0.041154805570840836,Random Search
Manchester_Sharston,NOx,xgboost,day_cos,0.09553714841604233,Random Search
Manchester_Sharston,NOx,xgboost,unix,0.06198453903198242,Random Search
Manchester_Sharston,NOx,xgboost,temp,0.1283828467130661,Normet AutoML
Manchester_Sharston,NOx,xgboost,RH,0.019876496866345406,Normet AutoML
Manchester_Sharston,NOx,xgboost,sp,0.029825210571289062,Normet AutoML
Manchester_Sharston,NOx,xgboost,blh_final,0.07110109180212021,Normet AutoML
Manchester_Sharston,NOx,xgboost,weekday,0.061069387942552567,Normet AutoML
Manchester_Sharston,NOx,xgboost,month_sin,0.06892071664333344,Normet AutoML
Manchester_Sharston,NOx,xgboost,month_cos,0.06605322659015656,Normet AutoML
Manchester_Sharston,NOx,xgboost,wind_u,0.08407585322856903,Normet AutoML
Manchester_Sharston,NOx,xgboost,wind_v,0.0742674171924591,Normet AutoML
Manchester_Sharston,NOx,xgboost,hour_sin,0.08892767131328583,Normet AutoML
Manchester_Sharston,NOx,xgboost,hour_cos,0.06764758378267288,Normet AutoML
Manchester_Sharston,NOx,xgboost,day_sin,0.05226292833685875,Normet AutoML
Manchester_Sharston,NOx,xgboost,day_cos,0.10978163033723831,Normet AutoML
Manchester_Sharston,NOx,xgboost,unix,0.07780791074037552,Normet AutoML
Manchester_Sharston,O3,xgboost,temp,0.07765117287635803,Random Search
Manchester_Sharston,O3,xgboost,RH,0.1119050532579422,Random Search
Manchester_Sharston,O3,xgboost,sp,0.02124570496380329,Random Search
Manchester_Sharston,O3,xgboost,blh_final,0.15907807648181915,Random Search
