params,mean_test_score,rank_test_score,Station,Pollutant,Model
"{'n_estimators': 415, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': True}",0.4737515952587866,18,Bury_Whitefield,NOx,randomforest
"{'subsample': 0.8157894736842105, 'reg_lambda': 2.477076355991709, 'reg_alpha': 327.4549162877725, 'n_estimators': 300, 'min_child_weight': 0.0028112391714084643, 'max_leaves': 390, 'max_depth': 20, 'learning_rate': 0.06913203779678131, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.7368421052631579}",0.5038929412635078,18,Manchester_Piccadilly,NOx,xgboost
"{'n_estimators': 265, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 45, 'bootstrap': True}",0.4765443936692923,18,Manchester_Piccadilly,NOx,randomforest
"{'subsample': 0.868421052631579, 'reg_lambda': 123.28467394420659, 'reg_alpha': 0.01873817422860384, 'n_estimators': 345, 'min_child_weight': 0.16308906755493327, 'max_leaves': 840, 'max_depth': 55, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.6578947368421053}",0.5960547341439677,18,Manchester_Piccadilly,O3,xgboost
"{'n_estimators': 445, 'min_samples_split': 16, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.5853399272843409,18,Manchester_Piccadilly,O3,randomforest
"{'n_estimators': 185, 'min_samples_split': 9, 'min_samples_leaf': 16, 'max_features': 'sqrt', 'max_depth': 45, 'bootstrap': True}",0.2232291375295,18,Manchester_Piccadilly,PM2.5,randomforest
"{'subsample': 0.6052631578947368, 'reg_lambda': 1204.5035402587812, 'reg_alpha': 0.09545484566618337, 'n_estimators': 295, 'min_child_weight': 0.24934093699518778, 'max_leaves': 320, 'max_depth': 10, 'learning_rate': 0.033655349755070944, 'colsample_bytree': 0.7105263157894737, 'colsample_bylevel': 0.6052631578947368}",0.1756003422395853,18,Manchester_Piccadilly,PM2.5,xgboost
"{'subsample': 0.6052631578947368, 'reg_lambda': 0.015922827933410922, 'reg_alpha': 236.4489412645407, 'n_estimators': 135, 'min_child_weight': 0.03865221162631262, 'max_leaves': 500, 'max_depth': 15, 'learning_rate': 0.03919100249433404, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.8421052631578947}",0.4316018021848365,18,Manchester_Sharston,NOx,xgboost
"{'n_estimators': 165, 'min_samples_split': 14, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.4034801124543705,18,Manchester_Sharston,NOx,randomforest
"{'subsample': 0.7894736842105263, 'reg_lambda': 1.2915496650148839, 'reg_alpha': 453.4878508128582, 'n_estimators': 340, 'min_child_weight': 0.05909395895340968, 'max_leaves': 480, 'max_depth': 65, 'learning_rate': 0.06103390288028621, 'colsample_bytree': 0.763157894736842, 'colsample_bylevel': 0.631578947368421}",0.6298924988700945,18,Manchester_Sharston,O3,xgboost
"{'n_estimators': 265, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 45, 'bootstrap': True}",0.6153694755381889,18,Manchester_Sharston,O3,randomforest
"{'subsample': 0.8157894736842105, 'reg_lambda': 2.477076355991709, 'reg_alpha': 327.4549162877725, 'n_estimators': 300, 'min_child_weight': 0.0028112391714084643, 'max_leaves': 390, 'max_depth': 20, 'learning_rate': 0.06913203779678131, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.7368421052631579}",0.4878237748862901,18,Salford_Eccles,NOx,xgboost
"{'n_estimators': 130, 'min_samples_split': 16, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': True}",0.4617295505336082,18,Salford_Eccles,NOx,randomforest
"{'subsample': 1.0, 'reg_lambda': 7220.8090183854565, 'reg_alpha': 236.4489412645407, 'n_estimators': 305, 'min_child_weight': 0.014266210152607369, 'max_leaves': 890, 'max_depth': 65, 'learning_rate': 0.16308906755493324, 'colsample_bytree': 0.8947368421052632, 'colsample_bylevel': 0.7894736842105263}",0.2507558419372613,18,Salford_Eccles,PM2.5,xgboost
"{'n_estimators': 450, 'min_samples_split': 9, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}",0.2222540518720038,18,Salford_Eccles,PM2.5,randomforest
"{'subsample': 0.868421052631579, 'reg_lambda': 123.2846739442066, 'reg_alpha': 0.01873817422860384, 'n_estimators': 345, 'min_child_weight': 0.16308906755493324, 'max_leaves': 840, 'max_depth': 55, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.6578947368421053}",0.4803491791562589,18,Salford_Glazebury,NOx,xgboost
"{'n_estimators': 500, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.4616447122532229,18,Salford_Glazebury,NOx,randomforest
"{'subsample': 0.6842105263157895, 'reg_lambda': 75.6463327554629, 'reg_alpha': 0.01873817422860384, 'n_estimators': 280, 'min_child_weight': 0.016536244070941803, 'max_leaves': 550, 'max_depth': 70, 'learning_rate': 0.08162508514287228, 'colsample_bytree': 0.8157894736842105, 'colsample_bylevel': 0.8947368421052632}",0.6540433862280866,18,Salford_Glazebury,O3,xgboost
"{'n_estimators': 470, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_features': 'log2', 'max_depth': 60, 'bootstrap': True}",0.6457972400596986,18,Salford_Glazebury,O3,randomforest
"{'subsample': 0.8157894736842105, 'reg_lambda': 2.477076355991709, 'reg_alpha': 327.4549162877725, 'n_estimators': 300, 'min_child_weight': 0.0028112391714084643, 'max_leaves': 390, 'max_depth': 20, 'learning_rate': 0.06913203779678131, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.7368421052631579}",0.5134429392414392,19,Bury_Whitefield,NOx,xgboost
"{'n_estimators': 425, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 25, 'bootstrap': True}",0.4737030375138729,19,Bury_Whitefield,NOx,randomforest
"{'subsample': 0.7105263157894737, 'reg_lambda': 9.111627561154886, 'reg_alpha': 5214.008287999684, 'n_estimators': 130, 'min_child_weight': 0.042389130573387786, 'max_leaves': 310, 'max_depth': 5, 'learning_rate': 0.09637578663841088, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 1.0}",0.5011386871735612,19,Manchester_Piccadilly,NOx,xgboost
"{'n_estimators': 215, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 35, 'bootstrap': True}",0.4762123023166528,19,Manchester_Piccadilly,NOx,randomforest
"{'subsample': 0.5, 'reg_lambda': 0.11233240329780277, 'reg_alpha': 0.08111308307896868, 'n_estimators': 195, 'min_child_weight': 0.2785414163241766, 'max_leaves': 900, 'max_depth': 30, 'learning_rate': 0.060194819738272745, 'colsample_bytree': 0.8421052631578947, 'colsample_bylevel': 0.5789473684210527}",0.596017345088596,19,Manchester_Piccadilly,O3,xgboost
"{'n_estimators': 485, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",0.5853150301574592,19,Manchester_Piccadilly,O3,randomforest
"{'n_estimators': 265, 'min_samples_split': 19, 'min_samples_leaf': 18, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': True}",0.2227259884289999,19,Manchester_Piccadilly,PM2.5,randomforest
"{'subsample': 0.9736842105263157, 'reg_lambda': 64.28073117284319, 'reg_alpha': 2310.1297000831582, 'n_estimators': 425, 'min_child_weight': 2.044660666579116, 'max_leaves': 180, 'max_depth': 60, 'learning_rate': 0.21511234301821672, 'colsample_bytree': 0.631578947368421, 'colsample_bylevel': 0.6842105263157895}",0.1724441707275105,19,Manchester_Piccadilly,PM2.5,xgboost
"{'subsample': 0.7894736842105263, 'reg_lambda': 0.008302175681319742, 'reg_alpha': 89.02150854450375, 'n_estimators': 295, 'min_child_weight': 0.06480719826311968, 'max_leaves': 150, 'max_depth': 70, 'learning_rate': 0.04958962013837214, 'colsample_bytree': 0.7368421052631579, 'colsample_bylevel': 0.8421052631578947}",0.4311956773671922,19,Manchester_Sharston,NOx,xgboost
"{'n_estimators': 130, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': True}",0.4033111979069022,19,Manchester_Sharston,NOx,randomforest
"{'subsample': 0.6578947368421053, 'reg_lambda': 0.08111308307896868, 'reg_alpha': 170.73526474706887, 'n_estimators': 465, 'min_child_weight': 2.6968806263906924, 'max_leaves': 530, 'max_depth': 40, 'learning_rate': 0.02930446976972143, 'colsample_bytree': 0.8947368421052632, 'colsample_bylevel': 0.8947368421052632}",0.6293731716595005,19,Manchester_Sharston,O3,xgboost
"{'n_estimators': 385, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': True}",0.6153214355905166,19,Manchester_Sharston,O3,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 7220.8090183854565, 'reg_alpha': 0.9326033468832199, 'n_estimators': 475, 'min_child_weight': 8.951664721378293, 'max_leaves': 380, 'max_depth': 5, 'learning_rate': 0.3303985069871858, 'colsample_bytree': 0.7368421052631579, 'colsample_bylevel': 0.868421052631579}",0.4869739244543232,19,Salford_Eccles,NOx,xgboost
"{'n_estimators': 350, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 45, 'bootstrap': True}",0.4617133247471925,19,Salford_Eccles,NOx,randomforest
"{'subsample': 0.9736842105263157, 'reg_lambda': 278.25594022071255, 'reg_alpha': 2718.58824273294, 'n_estimators': 280, 'min_child_weight': 0.924553109823357, 'max_leaves': 130, 'max_depth': 70, 'learning_rate': 0.02930446976972143, 'colsample_bytree': 0.6052631578947368, 'colsample_bylevel': 1.0}",0.2497260725496007,19,Salford_Eccles,PM2.5,xgboost
"{'n_estimators': 170, 'min_samples_split': 4, 'min_samples_leaf': 16, 'max_features': 'log2', 'max_depth': 15, 'bootstrap': True}",0.2216710213425447,19,Salford_Eccles,PM2.5,randomforest
"{'subsample': 0.6578947368421053, 'reg_lambda': 0.08111308307896868, 'reg_alpha': 170.73526474706887, 'n_estimators': 465, 'min_child_weight': 2.6968806263906924, 'max_leaves': 530, 'max_depth': 40, 'learning_rate': 0.02930446976972143, 'colsample_bytree': 0.8947368421052632, 'colsample_bylevel': 0.8947368421052632}",0.4796197215217558,19,Salford_Glazebury,NOx,xgboost
"{'n_estimators': 365, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': True}",0.4616356426727011,19,Salford_Glazebury,NOx,randomforest
"{'subsample': 0.9473684210526315, 'reg_lambda': 0.2983647240283337, 'reg_alpha': 1417.4741629268046, 'n_estimators': 460, 'min_child_weight': 3.428231493733967, 'max_leaves': 430, 'max_depth': 60, 'learning_rate': 0.18991405823619356, 'colsample_bytree': 0.631578947368421, 'colsample_bylevel': 0.6578947368421053}",0.6539806980358572,19,Salford_Glazebury,O3,xgboost
"{'n_estimators': 385, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': True}",0.6457834912375887,19,Salford_Glazebury,O3,randomforest
"{'subsample': 0.7894736842105263, 'reg_lambda': 1.2915496650148839, 'reg_alpha': 453.4878508128582, 'n_estimators': 340, 'min_child_weight': 0.05909395895340968, 'max_leaves': 480, 'max_depth': 65, 'learning_rate': 0.06103390288028621, 'colsample_bytree': 0.763157894736842, 'colsample_bylevel': 0.631578947368421}",0.5118258634671857,20,Bury_Whitefield,NOx,xgboost
"{'n_estimators': 385, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': True}",0.4736378460048004,20,Bury_Whitefield,NOx,randomforest
"{'subsample': 0.868421052631579, 'reg_lambda': 123.28467394420659, 'reg_alpha': 0.01873817422860384, 'n_estimators': 345, 'min_child_weight': 0.16308906755493327, 'max_leaves': 840, 'max_depth': 55, 'learning_rate': 0.03140465219496752, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.6578947368421053}",0.5006063014967322,20,Manchester_Piccadilly,NOx,xgboost
"{'n_estimators': 375, 'min_samples_split': 14, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 45, 'bootstrap': True}",0.4761973180727638,20,Manchester_Piccadilly,NOx,randomforest
"{'subsample': 0.8157894736842105, 'reg_lambda': 2.477076355991709, 'reg_alpha': 327.4549162877725, 'n_estimators': 300, 'min_child_weight': 0.0028112391714084643, 'max_leaves': 390, 'max_depth': 20, 'learning_rate': 0.06913203779678131, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.7368421052631579}",0.595917707150443,20,Manchester_Piccadilly,O3,xgboost
"{'n_estimators': 460, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 65, 'bootstrap': True}",0.585136673241873,20,Manchester_Piccadilly,O3,randomforest
"{'n_estimators': 145, 'min_samples_split': 6, 'min_samples_leaf': 18, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': True}",0.2219215735396171,20,Manchester_Piccadilly,PM2.5,randomforest
"{'subsample': 0.6052631578947368, 'reg_lambda': 123.28467394420659, 'reg_alpha': 0.4862601580065353, 'n_estimators': 355, 'min_child_weight': 8.62723729246144, 'max_leaves': 690, 'max_depth': 10, 'learning_rate': 0.0475723613918789, 'colsample_bytree': 0.9736842105263157, 'colsample_bylevel': 0.5263157894736842}",0.171186789180344,20,Manchester_Piccadilly,PM2.5,xgboost
"{'subsample': 0.5, 'reg_lambda': 75.6463327554629, 'reg_alpha': 3199.2671377973843, 'n_estimators': 215, 'min_child_weight': 0.01164480618372686, 'max_leaves': 950, 'max_depth': 10, 'learning_rate': 0.24030428944069696, 'colsample_bytree': 0.7105263157894737, 'colsample_bylevel': 0.8421052631578947}",0.4311459017653373,20,Manchester_Sharston,NOx,xgboost
"{'n_estimators': 265, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 45, 'bootstrap': True}",0.4032379232444282,20,Manchester_Sharston,NOx,randomforest
"{'subsample': 0.8157894736842105, 'reg_lambda': 2.477076355991709, 'reg_alpha': 327.4549162877725, 'n_estimators': 300, 'min_child_weight': 0.0028112391714084643, 'max_leaves': 390, 'max_depth': 20, 'learning_rate': 0.06913203779678131, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.7368421052631579}",0.6292556625674878,20,Manchester_Sharston,O3,xgboost
"{'n_estimators': 295, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': True}",0.6152368918204549,20,Manchester_Sharston,O3,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 89.02150854450375, 'reg_alpha': 0.08111308307896868, 'n_estimators': 325, 'min_child_weight': 0.01847281437099634, 'max_leaves': 780, 'max_depth': 65, 'learning_rate': 0.014666708663439686, 'colsample_bytree': 0.7894736842105263, 'colsample_bylevel': 0.5263157894736842}",0.4845776800022953,20,Salford_Eccles,NOx,xgboost
"{'n_estimators': 400, 'min_samples_split': 11, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 70, 'bootstrap': True}",0.4616399695867173,20,Salford_Eccles,NOx,randomforest
"{'subsample': 0.8947368421052632, 'reg_lambda': 869.7490026177834, 'reg_alpha': 2718.58824273294, 'n_estimators': 145, 'min_child_weight': 0.0035082471442397923, 'max_leaves': 680, 'max_depth': 20, 'learning_rate': 0.6332908400455114, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9736842105263157}",0.2496337206181002,20,Salford_Eccles,PM2.5,xgboost
"{'n_estimators': 180, 'min_samples_split': 13, 'min_samples_leaf': 19, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.2214617320340112,20,Salford_Eccles,PM2.5,randomforest
"{'subsample': 0.9473684210526315, 'reg_lambda': 0.2983647240283337, 'reg_alpha': 1417.4741629268046, 'n_estimators': 460, 'min_child_weight': 3.428231493733967, 'max_leaves': 430, 'max_depth': 60, 'learning_rate': 0.18991405823619356, 'colsample_bytree': 0.631578947368421, 'colsample_bylevel': 0.6578947368421053}",0.4773563747022754,20,Salford_Glazebury,NOx,xgboost
"{'n_estimators': 500, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 55, 'bootstrap': True}",0.461622162136227,20,Salford_Glazebury,NOx,randomforest
"{'subsample': 0.7894736842105263, 'reg_lambda': 28.480358684357988, 'reg_alpha': 0.21544346900318823, 'n_estimators': 495, 'min_child_weight': 0.16010644613183178, 'max_leaves': 860, 'max_depth': 10, 'learning_rate': 0.03657010880777491, 'colsample_bytree': 0.5526315789473684, 'colsample_bylevel': 1.0}",0.6539528463307291,20,Salford_Glazebury,O3,xgboost
"{'n_estimators': 415, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': True}",0.6457827596929459,20,Salford_Glazebury,O3,randomforest
"{'subsample': 0.8421052631578947, 'reg_lambda': 4.750810162102793, 'reg_alpha': 0.25353644939701114, 'n_estimators': 170, 'min_child_weight': 0.38830980490596045, 'max_leaves': 210, 'max_depth': 30, 'learning_rate': 0.03184241601504653, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0}",0.5105611278420048,21,Bury_Whitefield,NOx,xgboost
"{'n_estimators': 295, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': True}",0.4736172016468997,21,Bury_Whitefield,NOx,randomforest
"{'subsample': 0.631578947368421, 'reg_lambda': 1204.5035402587812, 'reg_alpha': 0.001, 'n_estimators': 435, 'min_child_weight': 0.13560151105656335, 'max_leaves': 980, 'max_depth': 30, 'learning_rate': 0.07616641716552892, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7894736842105263}",0.4999604332644979,21,Manchester_Piccadilly,NOx,xgboost
"{'n_estimators': 210, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 65, 'bootstrap': True}",0.4761242080895201,21,Manchester_Piccadilly,NOx,randomforest
"{'subsample': 0.7368421052631579, 'reg_lambda': 278.2559402207126, 'reg_alpha': 385.3528593710527, 'n_estimators': 145, 'min_child_weight': 0.7273165113001454, 'max_leaves': 980, 'max_depth': 25, 'learning_rate': 0.12194734366967383, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.7105263157894737}",0.5958038742800211,21,Manchester_Piccadilly,O3,xgboost
"{'n_estimators': 450, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 35, 'bootstrap': True}",0.5850848342139716,21,Manchester_Piccadilly,O3,randomforest
"{'n_estimators': 140, 'min_samples_split': 20, 'min_samples_leaf': 18, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': True}",0.221440613746128,21,Manchester_Piccadilly,PM2.5,randomforest
"{'subsample': 0.763157894736842, 'reg_lambda': 54.62277217684337, 'reg_alpha': 0.0031257158496882354, 'n_estimators': 285, 'min_child_weight': 1.4398479528760066, 'max_leaves': 360, 'max_depth': 40, 'learning_rate': 0.03557150206821386, 'colsample_bytree': 0.7105263157894737, 'colsample_bylevel': 0.7105263157894737}",0.16581939898071,21,Manchester_Piccadilly,PM2.5,xgboost
"{'subsample': 0.7894736842105263, 'reg_lambda': 1.2915496650148839, 'reg_alpha': 453.4878508128582, 'n_estimators': 340, 'min_child_weight': 0.05909395895340968, 'max_leaves': 480, 'max_depth': 65, 'learning_rate': 0.06103390288028621, 'colsample_bytree': 0.763157894736842, 'colsample_bylevel': 0.631578947368421}",0.4308374854914334,21,Manchester_Sharston,NOx,xgboost
"{'n_estimators': 145, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",0.4031687016901311,21,Manchester_Sharston,NOx,randomforest
"{'subsample': 0.8947368421052632, 'reg_lambda': 33.516026509388404, 'reg_alpha': 0.15556761439304723, 'n_estimators': 220, 'min_child_weight': 0.002131362471841438, 'max_leaves': 270, 'max_depth': 30, 'learning_rate': 0.09245531098233575, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6842105263157895}",0.6287078033943218,21,Manchester_Sharston,O3,xgboost
"{'n_estimators': 360, 'min_samples_split': 16, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",0.615114055818913,21,Manchester_Sharston,O3,randomforest
"{'subsample': 0.763157894736842, 'reg_lambda': 2.915053062825176, 'reg_alpha': 14.849682622544634, 'n_estimators': 415, 'min_child_weight': 0.28373036165162113, 'max_leaves': 720, 'max_depth': 30, 'learning_rate': 0.0561692982416381, 'colsample_bytree': 0.6842105263157895, 'colsample_bylevel': 0.7105263157894737}",0.4841070150184866,21,Salford_Eccles,NOx,xgboost
"{'n_estimators': 480, 'min_samples_split': 6, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 55, 'bootstrap': True}",0.461630550712403,21,Salford_Eccles,NOx,randomforest
"{'subsample': 0.5263157894736842, 'reg_lambda': 869.7490026177834, 'reg_alpha': 0.007054802310718645, 'n_estimators': 125, 'min_child_weight': 0.021412201548157293, 'max_leaves': 290, 'max_depth': 65, 'learning_rate': 0.050981760644204246, 'colsample_bytree': 0.8157894736842105, 'colsample_bylevel': 0.7894736842105263}",0.2492181888432248,21,Salford_Eccles,PM2.5,xgboost
"{'n_estimators': 55, 'min_samples_split': 17, 'min_samples_leaf': 15, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': True}",0.2214403584834767,21,Salford_Eccles,PM2.5,randomforest
"{'subsample': 0.7894736842105263, 'reg_lambda': 20.565123083486515, 'reg_alpha': 0.0011768119524349979, 'n_estimators': 335, 'min_child_weight': 0.0108160363031071, 'max_leaves': 600, 'max_depth': 5, 'learning_rate': 0.13812763028320094, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.8421052631578947}",0.4770925162609362,21,Salford_Glazebury,NOx,xgboost
"{'n_estimators': 330, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 45, 'bootstrap': True}",0.4615547058167746,21,Salford_Glazebury,NOx,randomforest
"{'subsample': 0.8947368421052632, 'reg_lambda': 0.0013848863713938732, 'reg_alpha': 1.7886495290574351, 'n_estimators': 440, 'min_child_weight': 0.010424040070215563, 'max_leaves': 160, 'max_depth': 65, 'learning_rate': 0.008910453324821512, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9210526315789473}",0.6535635208359356,21,Salford_Glazebury,O3,xgboost
"{'n_estimators': 255, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 45, 'bootstrap': True}",0.6457109488269491,21,Salford_Glazebury,O3,randomforest
"{'subsample': 0.868421052631579, 'reg_lambda': 7.74263682681127, 'reg_alpha': 0.005994842503189409, 'n_estimators': 490, 'min_child_weight': 0.004066478091781854, 'max_leaves': 750, 'max_depth': 5, 'learning_rate': 0.09505082962189512, 'colsample_bytree': 0.6842105263157895, 'colsample_bylevel': 0.763157894736842}",0.5101700699077015,22,Bury_Whitefield,NOx,xgboost
"{'n_estimators': 165, 'min_samples_split': 14, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.4735805412829771,22,Bury_Whitefield,NOx,randomforest
"{'subsample': 0.7894736842105263, 'reg_lambda': 20.565123083486515, 'reg_alpha': 0.0011768119524349979, 'n_estimators': 335, 'min_child_weight': 0.0108160363031071, 'max_leaves': 600, 'max_depth': 5, 'learning_rate': 0.13812763028320094, 'colsample_bytree': 0.5263157894736842, 'colsample_bylevel': 0.8421052631578947}",0.4980630382382314,22,Manchester_Piccadilly,NOx,xgboost
"{'n_estimators': 335, 'min_samples_split': 17, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",0.4760772285805045,22,Manchester_Piccadilly,NOx,randomforest
"{'subsample': 0.763157894736842, 'reg_lambda': 0.08111308307896868, 'reg_alpha': 0.009770099572992247, 'n_estimators': 235, 'min_child_weight': 0.004627332011878693, 'max_leaves': 100, 'max_depth': 25, 'learning_rate': 0.015078450458610518, 'colsample_bytree': 0.7105263157894737, 'colsample_bylevel': 0.5263157894736842}",0.5951402387926802,22,Manchester_Piccadilly,O3,xgboost
"{'n_estimators': 385, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': True}",0.5850020599864917,22,Manchester_Piccadilly,O3,randomforest
"{'n_estimators': 430, 'min_samples_split': 13, 'min_samples_leaf': 16, 'max_features': 'log2', 'max_depth': 60, 'bootstrap': True}",0.2210036783178865,22,Manchester_Piccadilly,PM2.5,randomforest
"{'subsample': 0.6052631578947368, 'reg_lambda': 0.015922827933410922, 'reg_alpha': 236.4489412645407, 'n_estimators': 135, 'min_child_weight': 0.03865221162631262, 'max_leaves': 500, 'max_depth': 15, 'learning_rate': 0.03919100249433404, 'colsample_bytree': 0.6578947368421053, 'colsample_bylevel': 0.8421052631578947}",0.1636995444821329,22,Manchester_Piccadilly,PM2.5,xgboost
"{'subsample': 0.7894736842105263, 'reg_lambda': 75.6463327554629, 'reg_alpha': 20.565123083486515, 'n_estimators': 145, 'min_child_weight': 0.0920296680876041, 'max_leaves': 820, 'max_depth': 10, 'learning_rate': 0.06188468238624386, 'colsample_bytree': 0.9210526315789473, 'colsample_bylevel': 0.631578947368421}",0.4303589333518519,22,Manchester_Sharston,NOx,xgboost
"{'n_estimators': 190, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': True}",0.4029997741486181,22,Manchester_Sharston,NOx,randomforest
"{'subsample': 0.9210526315789473, 'reg_lambda': 6.579332246575675, 'reg_alpha': 0.005994842503189409, 'n_estimators': 330, 'min_child_weight': 0.027725907598604826, 'max_leaves': 410, 'max_depth': 25, 'learning_rate': 0.05388438442608223, 'colsample_bytree': 0.631578947368421, 'colsample_bylevel': 0.9210526315789473}",0.6275767570837353,22,Manchester_Sharston,O3,xgboost
"{'n_estimators': 345, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 'log2', 'max_depth': 35, 'bootstrap': True}",0.6150687835100079,22,Manchester_Sharston,O3,randomforest
"{'subsample': 0.9736842105263157, 'reg_lambda': 64.28073117284319, 'reg_alpha': 2310.1297000831582, 'n_estimators': 425, 'min_child_weight': 2.044660666579116, 'max_leaves': 180, 'max_depth': 60, 'learning_rate': 0.21511234301821672, 'colsample_bytree': 0.631578947368421, 'colsample_bylevel': 0.6842105263157895}",0.482980694007866,22,Salford_Eccles,NOx,xgboost
"{'n_estimators': 360, 'min_samples_split': 16, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",0.4615541301651634,22,Salford_Eccles,NOx,randomforest
"{'subsample': 0.5263157894736842, 'reg_lambda': 0.25353644939701114, 'reg_alpha': 739.0722033525776, 'n_estimators': 415, 'min_child_weight': 0.007616641716552892, 'max_leaves': 800, 'max_depth': 5, 'learning_rate': 0.00820026061993413, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5526315789473684}",0.248947167465896,22,Salford_Eccles,PM2.5,xgboost
